quantile,threshold,macro_avg_recall,weighted_avg_recall,avg_recall,classification_report_dict
0.51,15136.103515625,0.551909170168885,0.5409509391992091,0.546430054684047,"{'Normal': {'precision': 0.8177715860565129, 'recall': 0.5325628180347916, 'f1-score': 0.6450472402384109, 'support': 50702.0}, 'Anomaly': {'precision': 0.25276665510609453, 'recall': 0.5712555223029785, 'f1-score': 0.3504622849773775, 'support': 14034.0}, 'accuracy': 0.5409509391992091, 'macro avg': {'precision': 0.5352691205813037, 'recall': 0.551909170168885, 'f1-score': 0.4977547626078942, 'support': 64736.0}, 'weighted avg': {'precision': 0.6952851920723593, 'recall': 0.5409509391992091, 'f1-score': 0.5811847022049621, 'support': 64736.0}}"
0.511,15136.1162109375,0.5523523086302965,0.5418468858131488,0.5470995972217226,"{'Normal': {'precision': 0.8179949829238069, 'recall': 0.5338053725691294, 'f1-score': 0.6460275215123703, 'support': 50702.0}, 'Anomaly': {'precision': 0.2531517583493949, 'recall': 0.5708992446914636, 'f1-score': 0.3507650548344023, 'support': 14034.0}, 'accuracy': 0.5418468858131488, 'macro avg': {'precision': 0.5355733706366009, 'recall': 0.5523523086302965, 'f1-score': 0.4983962881733863, 'support': 64736.0}, 'weighted avg': {'precision': 0.6955436449715501, 'recall': 0.5418468858131488, 'f1-score': 0.582018107007943, 'support': 64736.0}}"
0.512,15136.1240234375,0.5528075333504711,0.5426810430054375,0.5477442881779543,"{'Normal': {'precision': 0.8182339276555948, 'recall': 0.5349295885763875, 'f1-score': 0.6469248291571754, 'support': 50702.0}, 'Anomaly': {'precision': 0.2535376238564057, 'recall': 0.5706854781245546, 'f1-score': 0.3510948425136444, 'support': 14034.0}, 'accuracy': 0.5426810430054375, 'macro avg': {'precision': 0.5358857757560003, 'recall': 0.5528075333504711, 'f1-score': 0.4990098358354099, 'support': 64736.0}, 'weighted avg': {'precision': 0.6958144403916641, 'recall': 0.5426810430054375, 'f1-score': 0.582792383028973, 'support': 64736.0}}"
0.513,15136.155327148437,0.5523370672958448,0.5429127533366288,0.5476249103162367,"{'Normal': {'precision': 0.8178560674495634, 'recall': 0.5356987890024062, 'f1-score': 0.6473686719420345, 'support': 50702.0}, 'Anomaly': {'precision': 0.25328300450421876, 'recall': 0.5689753455892832, 'f1-score': 0.3505267778753292, 'support': 14034.0}, 'accuracy': 0.5429127533366288, 'macro avg': {'precision': 0.535569535976891, 'recall': 0.5523370672958448, 'f1-score': 0.4989477249086819, 'support': 64736.0}, 'weighted avg': {'precision': 0.6954632973467617, 'recall': 0.5429127533366288, 'f1-score': 0.5830168562393012, 'support': 64736.0}}"
0.514,15136.2158203125,0.5513048249070158,0.5427891744933268,0.5470469997001712,"{'Normal': {'precision': 0.8171054213246784, 'recall': 0.5362707585499585, 'f1-score': 0.6475505489532973, 'support': 50702.0}, 'Anomaly': {'precision': 0.252638270820089, 'recall': 0.566338891264073, 'f1-score': 0.34940871323691036, 'support': 14034.0}, 'accuracy': 0.5427891744933268, 'macro avg': {'precision': 0.5348718460723837, 'recall': 0.5513048249070158, 'f1-score': 0.49847963109510385, 'support': 64736.0}, 'weighted avg': {'precision': 0.6947356117877683, 'recall': 0.5427891744933268, 'f1-score': 0.5829169212586023, 'support': 64736.0}}"
0.515,15136.268090820313,0.5500610406661177,0.5424956747404844,0.546278357703301,"{'Normal': {'precision': 0.8162212423887939, 'recall': 0.5367046664825845, 'f1-score': 0.6475886769552957, 'support': 50702.0}, 'Anomaly': {'precision': 0.2518393477083798, 'recall': 0.5634174148496508, 'f1-score': 0.3480883097444476, 'support': 14034.0}, 'accuracy': 0.5424956747404844, 'macro avg': {'precision': 0.5340302950485869, 'recall': 0.5500610406661177, 'f1-score': 0.4978384933498716, 'support': 64736.0}, 'weighted avg': {'precision': 0.693869915307341, 'recall': 0.5424956747404844, 'f1-score': 0.5826605356824792, 'support': 64736.0}}"
0.516,15136.350625,0.549337361868889,0.542572911517548,0.5459551366932185,"{'Normal': {'precision': 0.8156807567955934, 'recall': 0.5373949745572166, 'f1-score': 0.6479204812974104, 'support': 50702.0}, 'Anomaly': {'precision': 0.2514043150772373, 'recall': 0.5612797491805614, 'f1-score': 0.34726447118987785, 'support': 14034.0}, 'accuracy': 0.5425729115175482, 'macro avg': {'precision': 0.5335425359364153, 'recall': 0.549337361868889, 'f1-score': 0.4975924762436441, 'support': 64736.0}, 'weighted avg': {'precision': 0.6933522906704789, 'recall': 0.542572911517548, 'f1-score': 0.5827418102975168, 'support': 64736.0}}"
0.517,15136.451166992187,0.5485128429175876,0.5425729115175482,0.5455428772175679,"{'Normal': {'precision': 0.8150770885622087, 'recall': 0.538026113368309, 'f1-score': 0.6481881905667102, 'support': 50702.0}, 'Anomaly': {'precision': 0.2508954842011002, 'recall': 0.5589995724668662, 'f1-score': 0.3463423248421703, 'support': 14034.0}, 'accuracy': 0.5425729115175482, 'macro avg': {'precision': 0.5329862863816545, 'recall': 0.5485128429175876, 'f1-score': 0.49726525770444024, 'support': 64736.0}, 'weighted avg': {'precision': 0.692769182055724, 'recall': 0.5425729115175482, 'f1-score': 0.5827515729261671, 'support': 64736.0}}"
0.518,15136.513671875,0.5469741750435542,0.5421403855659911,0.5445572803047727,"{'Normal': {'precision': 0.8140020275508378, 'recall': 0.5384402982130883, 'f1-score': 0.6481481481481481, 'support': 50702.0}, 'Anomaly': {'precision': 0.24988781332136675, 'recall': 0.5555080518740202, 'f1-score': 0.3447117085249381, 'support': 14034.0}, 'accuracy': 0.5421403855659911, 'macro avg': {'precision': 0.5319449204361023, 'recall': 0.5469741750435542, 'f1-score': 0.4964299283365431, 'support': 64736.0}, 'weighted avg': {'precision': 0.6917087304287358, 'recall': 0.5421403855659911, 'f1-score': 0.582366712877632, 'support': 64736.0}}"
0.519,15136.625454101562,0.546701570882532,0.5424802273850716,0.5445908991338018,"{'Normal': {'precision': 0.8137686767069469, 'recall': 0.5392489448148002, 'f1-score': 0.6486595492289442, 'support': 50702.0}, 'Anomaly': {'precision': 0.249759136746098, 'recall': 0.5541541969502637, 'f1-score': 0.3443283449924732, 'support': 14034.0}, 'accuracy': 0.5424802273850716, 'macro avg': {'precision': 0.5317639067265224, 'recall': 0.546701570882532, 'f1-score': 0.4964939471107087, 'support': 64736.0}, 'weighted avg': {'precision': 0.691498071729646, 'recall': 0.5424802273850716, 'f1-score': 0.5826841395611452, 'support': 64736.0}}"
